                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.79676,                 1.3644,                0.50704,                0.94957,                0.77227,                 0.6625,                  0.716,                0.45024,                0.77285,                0.65534,                 0.7053,                0.37392,                 1.2016,                 2.1827,                0.93511,                 1.2272,              0.0007954,              0.0007954,              0.0007954
                     64,                0.79248,                 1.3603,                0.50271,                0.94999,                0.75363,                0.67052,                0.71522,                0.45055,                0.75758,                0.65747,                0.70317,                0.37403,                 1.2047,                 2.1928,                0.93859,                 1.2314,              0.0007921,              0.0007921,              0.0007921
                     65,                0.78734,                 1.3496,                0.49776,                0.94651,                0.76729,                 0.6656,                0.71789,                0.45184,                0.75788,                0.65775,                0.70175,                0.37448,                 1.2051,                 2.1981,                 0.9387,                 1.2358,              0.0007888,              0.0007888,              0.0007888
                     66,                0.78609,                 1.3395,                0.49908,                0.94255,                0.77124,                0.65449,                0.71818,                 0.4513,                0.77113,                0.64398,                0.70234,                0.37431,                  1.203,                 2.2029,                0.93067,                 1.2363,              0.0007855,              0.0007855,              0.0007855
                     67,                0.78381,                 1.3379,                0.49386,                0.94251,                0.75421,                0.67284,                0.71833,                0.45044,                0.74876,                0.66094,                0.70419,                 0.3741,                 1.2008,                 2.2009,                0.93032,                 1.2354,              0.0007822,              0.0007822,              0.0007822
                     68,                 0.7814,                 1.3367,                0.49445,                0.94141,                0.76566,                0.66309,                0.71661,                 0.4503,                0.75615,                0.65575,                0.70266,                0.37617,                  1.199,                 2.2005,                0.93176,                 1.2328,              0.0007789,              0.0007789,              0.0007789
                     69,                 0.7801,                 1.3344,                 0.4913,                0.94078,                0.76791,                0.66252,                0.71621,                0.45038,                 0.7597,                0.65357,                0.70208,                0.37559,                 1.1989,                 2.1947,                0.92941,                 1.2333,              0.0007756,              0.0007756,              0.0007756
                     70,                0.77556,                 1.3272,                0.48977,                0.93944,                0.76714,                 0.6629,                0.71675,                0.45101,                0.76137,                 0.6527,                0.70386,                0.37554,                 1.1974,                 2.2023,                0.92885,                 1.2325,              0.0007723,              0.0007723,              0.0007723
                     71,                0.77051,                 1.3191,                0.48285,                0.93785,                0.76667,                0.66206,                0.71555,                0.45167,                0.77163,                0.65061,                0.70528,                0.37459,                 1.1987,                 2.2046,                0.92784,                 1.2357,               0.000769,               0.000769,               0.000769
                     72,                 0.7713,                 1.3157,                0.48303,                 0.9384,                0.76483,                0.66679,                0.71675,                0.45081,                0.76176,                0.65856,                0.70596,                0.37294,                  1.199,                 2.2059,                0.92852,                 1.2362,              0.0007657,              0.0007657,              0.0007657
