                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0207,                 2.2755,                0.87343,                 1.0807,                0.42417,                0.27857,                0.28477,                0.18822,                0.39298,                0.22525,                0.22008,                0.11501,                 1.1598,                 2.4971,                 1.0402,                 1.1155,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0266,                 2.2954,                 0.8839,                 1.0859,                0.41929,                0.27979,                0.28536,                0.18846,                0.39295,                 0.2235,                0.22079,                0.11536,                 1.1595,                 2.4973,                   1.04,                 1.1154,               0.006535,               0.006535,               0.006535
                     72,                 1.0282,                 2.2995,                0.88649,                 1.0851,                0.41701,                0.27958,                0.28494,                0.18859,                0.39704,                0.22118,                0.22065,                0.11532,                 1.1589,                 2.4966,                 1.0403,                 1.1153,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0291,                 2.2943,                0.88796,                 1.0857,                0.42237,                0.27806,                0.28546,                0.18851,                0.40103,                0.22218,                0.22099,                0.11571,                  1.159,                 2.4971,                 1.0402,                 1.1154,               0.006436,               0.006436,               0.006436
                     74,                 1.0275,                 2.2922,                0.88411,                 1.0844,                0.44049,                0.27484,                 0.2856,                0.18869,                0.42184,                0.21749,                0.22072,                0.11568,                 1.1589,                 2.4966,                 1.0402,                 1.1154,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0278,                 2.2911,                0.88357,                 1.0836,                0.44875,                0.27619,                0.28585,                0.18871,                0.41458,                0.21921,                0.22102,                0.11573,                 1.1585,                 2.4965,                 1.0397,                 1.1154,               0.006337,               0.006337,               0.006337
                     76,                 1.0251,                 2.2855,                 0.8809,                 1.0829,                0.44603,                0.27682,                0.28587,                0.18865,                0.41312,                0.21888,                0.22081,                0.11565,                 1.1587,                 2.4966,                 1.0399,                 1.1155,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0243,                  2.286,                0.87905,                 1.0823,                 0.4505,                0.27553,                0.28605,                  0.189,                0.41232,                0.22003,                0.22091,                0.11587,                 1.1589,                  2.497,                 1.0398,                 1.1157,               0.006238,               0.006238,               0.006238
                     78,                 1.0243,                 2.2801,                0.87671,                 1.0819,                0.45183,                0.27594,                0.28603,                0.18902,                0.41585,                0.21873,                0.22128,                0.11574,                 1.1587,                  2.497,                 1.0397,                 1.1157,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0231,                  2.275,                0.87491,                 1.0819,                 0.4497,                0.27655,                0.28592,                0.18912,                 0.4166,                0.21907,                0.22136,                0.11567,                  1.159,                 2.4971,                 1.0395,                  1.116,               0.006139,               0.006139,               0.006139
